city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth
南宁,2019,370.93,789.2,4507.0,418.27000000000004,0.092804526292434,0.03334633385335417,0.13067522457341796
南宁,2020,372.25,819.86,4726.0,447.61,0.09471223021582734,0.0035586229207666964,0.03884946781550935
南宁,2021,392.0,778.0,5120.94,386.0,0.0753767862931415,0.05305574210879782,-0.05105749762154521
南宁,2022,392.68,838.93,5218.35,446.24999999999994,0.0855155365201644,0.0017346938775510967,0.07831619537275047
南宁,2023,400.88,816.48,5469.0,415.6,0.07599195465350156,0.020882143220943172,-0.026760277973132407
南宁,2024,381.16,796.99,5995.36,415.83,0.0693586373462144,-0.04919177808820585,-0.023870762296688275
南宁,2025,,,,,,0.0,0.0
南昌,2006,68.11,93.37,1183.9,25.260000000000005,0.021336261508573363,,
南昌,2007,87.22,116.86,1389.89,29.64,0.021325428631042743,0.28057553956834536,0.25157973653207666
南昌,2008,102.15,148.17,1660.08,46.01999999999998,0.027721555587682512,0.17117633570282043,0.2679274345370528
南昌,2009,115.88,181.75,1838.0,65.87,0.03583786724700762,0.13441018110621616,0.2266315718431533
南昌,2010,146.47,232.03,2200.1,85.56,0.038889141402663516,0.2639799792889197,0.27664374140302606
南昌,2011,187.03,299.37,2688.87,112.34,0.04177963233626022,0.27691677476616383,0.29022109210015956
南昌,2012,240.02,345.51,3000.5,105.48999999999998,0.035157473754374266,0.28332353098433405,0.15412365968533925
南昌,2013,291.91,419.37,3336.03,127.45999999999998,0.038207090463814763,0.216190317473544,0.21377094729530266
南昌,2014,342.21,473.16,3667.96,130.95000000000005,0.03570104363188258,0.17231338426227238,0.1282638243078904
南昌,2015,389.34,543.18,4000.01,153.83999999999997,0.03845990385024037,0.13772245112650117,0.1479837687040324
南昌,2016,402.18,583.26,4354.99,181.07999999999998,0.041579888817195904,0.0329788873478194,0.07378769468684432
南昌,2017,417.08,653.12,5003.19,236.04000000000002,0.04717790049948134,0.037048087920831474,0.11977505743579187
南昌,2018,461.75,752.41,5274.67,290.65999999999997,0.05510486911977431,0.10710175505898145,0.15202413032827033
南昌,2019,477.0,834.11,5596.0,357.11,0.06381522516082917,0.03302652950730911,0.10858441541181008
南昌,2020,483.86,838.17,5746.0,354.30999999999995,0.06166202575704837,0.014381551362683487,0.0048674635239955855
南昌,2021,484.83,870.01,6650.53,385.18,0.05791718855489713,0.002004712106807638,0.03798752043141618
南昌,2022,457.68,939.04,7203.5,481.35999999999996,0.06682307211772055,-0.05599900996225482,0.07934391558717713
南昌,2023,500.18,925.55,7213.0,425.36999999999995,0.05897268820185775,0.09285963992309032,-0.014365735218947018
南昌,2024,526.21,940.07,7800.37,413.86,0.053056457578294365,0.0520412651445481,0.015687969315542283
南昌,2025,,,,,,0.0,0.0
厦门,2006,136.17,159.13,1168.02,22.960000000000008,0.019657197650725166,,
厦门,2007,186.53,198.66,1387.85,12.129999999999995,0.008740137622941959,0.36983182786223123,0.24841324703072964
厦门,2008,220.23,238.09,1560.02,17.860000000000014,0.011448571172164468,0.1806679890634213,0.19847981475888465
厦门,2009,240.56,268.05,1737.0,27.49000000000001,0.015826137017846867,0.09231258230032235,0.12583476836490415
厦门,2010,289.17,306.95,2060.1,17.779999999999973,0.008630648997621462,0.20207016960425683,0.14512217869800392
厦门,2011,370.77,389.07,2539.31,18.30000000000001,0.007206682130184976,0.2821869488536153,0.26753542922300055
厦门,2012,422.91,460.98,2817.1,38.06999999999999,0.013513897270242445,0.14062626426086267,0.18482535276428402
厦门,2013,490.6,516.74,3018.16,26.139999999999986,0.008660905982452881,0.16005769549076643,0.12095969456375544
厦门,2014,543.8,548.25,3273.58,4.4500000000000455,0.0013593680313296287,0.10843864655523827,0.06097844176955536
厦门,2015,606.1,651.17,3466.03,45.069999999999936,0.013003349653638294,0.11456417800662022,0.1877245782033743
厦门,2016,647.94,758.64,3784.27,110.69999999999993,0.029252669603384518,0.0690315129516581,0.1650413870417864
厦门,2017,696.87,797.1,4351.7,100.23000000000002,0.023032378151067404,0.07551625150476893,0.05069598228408734
厦门,2018,754.54,892.5,4791.41,137.96000000000004,0.028793194487635173,0.0827557507139065,0.11968385397064352
厦门,2019,768.38,912.98,5995.0,144.60000000000002,0.02412010008340284,0.018342301269647754,0.02294677871148454
厦门,2020,783.94,976.91,6384.0,192.9699999999999,0.030227130325814523,0.020250396939014648,0.07002343972485692
厦门,2021,880.96,1060.0,7033.89,179.03999999999996,0.025453909572085993,0.1237594713881165,0.08505389442220879
厦门,2022,883.81,1088.74,7802.66,204.93000000000006,0.026264120184654984,0.003235107155829864,0.027113207547169837
厦门,2023,932.14,1084.65,8066.0,152.5100000000001,0.01890776097198117,0.05468369898507608,-0.003756636111468259
厦门,2024,933.35,1059.2,8589.01,125.85000000000002,0.014652445392425904,0.0012980882700024399,-0.023463790162725373
厦门,2025,,,,,,0.0,0.0
合肥,2006,79.4,102.89,1073.76,23.489999999999995,0.021876396960214567,,
合肥,2007,169.32,167.08,1334.61,-2.2399999999999807,-0.001678392938761122,1.1324937027707804,0.6238701525901449
合肥,2008,222.08,222.25,1664.84,0.1699999999999875,0.00010211191465845817,0.3115993385305931,0.33020110126885305
合肥,2009,180.9,245.86,2102.0,64.96000000000001,0.03090390104662227,-0.18542867435158505,0.10623172103487066
合肥,2010,259.43,317.72,2701.6,58.29000000000002,0.021576103050044426,0.4341072415699281,0.2922801594403319
合肥,2011,338.51,474.89,3636.6,136.38,0.037502062365946214,0.3048221100104074,0.49468085106382964
合肥,2012,389.5,572.1,4164.3,182.60000000000002,0.04384890617870951,0.15063070514903543,0.20470003579776375
合肥,2013,438.62,630.89,4672.91,192.26999999999998,0.0411456672608717,0.1261103979460847,0.10276175493794781
合肥,2014,500.34,698.79,5157.97,198.45,0.038474438587273674,0.1407140577265058,0.10762573507267503
合肥,2015,571.54,772.66,5660.27,201.12,0.035531873921208705,0.14230323380101528,0.10571130096309345
合肥,2016,614.85,859.85,6274.38,245.0,0.0390476827989379,0.07577772334394806,0.11284394170786638
合肥,2017,655.9,965.34,7213.45,309.44000000000005,0.04289764259820198,0.06676425144344145,0.12268418910275058
合肥,2018,712.49,1004.91,7822.91,292.41999999999996,0.03737995196161019,0.08627839609696597,0.040990739014233224
合肥,2019,745.99,1122.67,9409.0,376.68000000000006,0.040034009990434695,0.047018203764263466,0.1171846234986218
合肥,2020,762.9,1164.35,10046.0,401.44999999999993,0.03996117857853872,0.022667864180484942,0.03712578050540216
合肥,2021,844.22,1223.72,11412.8,379.5,0.03325213795037151,0.10659326255079304,0.050989822647829364
合肥,2022,909.25,1380.18,12013.1,470.93000000000006,0.03920137183574598,0.0770296842055389,0.1278560455006048
合肥,2023,929.63,1411.34,12674.0,481.7099999999999,0.03800773236547261,0.02241407753643121,0.02257676534944708
合肥,2024,955.01,1581.06,13507.69,626.05,0.04634767306623116,0.02730118434215756,0.12025450989839448
合肥,2025,,,,,,0.0,0.0
呼和浩特,2006,45.52,75.5,900.08,29.979999999999997,0.0333081503866323,,
呼和浩特,2007,57.96,100.51,1101.13,42.550000000000004,0.03864212218357505,0.27328646748681895,0.3312582781456954
呼和浩特,2008,82.25,133.18,1316.37,50.93000000000001,0.03868973009108382,0.4190821256038648,0.32504228434981597
呼和浩特,2009,106.79,165.16,1644.0,58.36999999999999,0.03550486618004865,0.2983586626139818,0.24012614506682683
呼和浩特,2010,126.76,177.28,1865.7,50.519999999999996,0.02707830840971217,0.18700252832662234,0.07338338580770176
呼和浩特,2011,151.43,255.67,2177.27,104.23999999999998,0.04787646915632879,0.19461975386557273,0.442181859205776
